"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of ribosome","GO:0003735","4.143620320450063e-75","74.38262004580331","171","67","45","18679","RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,RPS27,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,RPL41,RPS26,RPL18A,RPL13,RPLP1,RPSA,RPS27A,RPL23,RPL19,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
"GO:MF","structural molecule activity","GO:0005198","1.1423041081946406e-45","44.94221826130132","701","67","45","18679","RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,RPS27,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,RPL41,RPS26,RPL18A,RPL13,RPLP1,RPSA,RPS27A,RPL23,RPL19,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
"GO:MF","RNA binding","GO:0003723","3.385582662197771e-27","26.470366578027217","1951","67","46","18679","EEF1B2,RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,RPS27,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,RPL41,RPS26,RPL18A,RPL13,RPSA,RPS27A,RPL23,RPL19,GDI2,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
"GO:MF","nucleic acid binding","GO:0003676","1.4630403415564674e-16","15.834743698567912","4252","67","50","18679","EEF1B2,RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,SMC4,RPS27,LEF1,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,NACA,RPL41,RPS26,RPL18A,RPL13,RPSA,RPS27A,TCF7,RPL23,RPL19,GDI2,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
"GO:MF","rRNA binding","GO:0019843","3.635003670791378e-13","12.43949514623448","68","67","11","18679","RPS4X,RPL9,RPLP0,RPS9,RPS5,RPS11,RPS3,RPL23,RPL19,RPL37,RPS18"
"GO:MF","heterocyclic compound binding","GO:1901363","1.0345567001982122e-12","11.985245702283502","6210","67","54","18679","EEF1B2,RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,SMC4,RPS27,LEF1,RPS20,RPS8,RPL22,RPL9,RPLP0,GIMAP6,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,LDHA,RPS3,RPL27A,RPS15A,RPS12,NACA,RPL41,RPS26,DGKA,RPL18A,RPL13,RPSA,RPS27A,TCF7,RPL23,RPL19,GDI2,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU,MT-CO1"
"GO:MF","organic cyclic compound binding","GO:0097159","1.9242472207624806e-12","11.715739132030215","6291","67","54","18679","EEF1B2,RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,SMC4,RPS27,LEF1,RPS20,RPS8,RPL22,RPL9,RPLP0,GIMAP6,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,LDHA,RPS3,RPL27A,RPS15A,RPS12,NACA,RPL41,RPS26,DGKA,RPL18A,RPL13,RPSA,RPS27A,TCF7,RPL23,RPL19,GDI2,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU,MT-CO1"
"GO:MF","large ribosomal subunit rRNA binding","GO:0070180","0.0004559500577698902","3.341082724929399","6","67","3","18679","RPLP0,RPL23,RPL19"
"GO:MF","ubiquitin ligase inhibitor activity","GO:1990948","0.0019002703512123753","2.7211846076328463","9","67","3","18679","RPS20,RPL23,RPL37"
"GO:MF","ubiquitin-protein transferase inhibitor activity","GO:0055105","0.002707700247198374","2.5673994153905797","10","67","3","18679","RPS20,RPL23,RPL37"
"GO:MF","5.8S rRNA binding","GO:1990932","0.006601361505784514","2.1803664836294976","2","67","2","18679","RPS9,RPL19"
"GO:MF","ubiquitin-protein transferase regulator activity","GO:0055106","0.03864854850112271","1.4128668119601477","23","67","3","18679","RPS20,RPL23,RPL37"
"GO:BP","SRP-dependent cotranslational protein targeting to membrane","GO:0006614","2.720480560475946e-88","87.56535437305092","96","66","45","18123","RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,RPS27,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,RPL41,RPS26,RPL18A,RPL13,RPLP1,RPSA,RPS27A,RPL23,RPL19,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
"GO:BP","cotranslational protein targeting to membrane","GO:0006613","1.0026059587946479e-86","85.99886971857002","102","66","45","18123","RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,RPS27,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,RPL41,RPS26,RPL18A,RPL13,RPLP1,RPSA,RPS27A,RPL23,RPL19,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
"GO:BP","protein targeting to ER","GO:0045047","1.3547410326782681e-84","83.86814371499447","111","66","45","18123","RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,RPS27,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,RPL41,RPS26,RPL18A,RPL13,RPLP1,RPSA,RPS27A,RPL23,RPL19,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
"GO:BP","establishment of protein localization to endoplasmic reticulum","GO:0072599","1.0168156077555195e-83","82.99275779613808","115","66","45","18123","RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,RPS27,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,RPL41,RPS26,RPL18A,RPL13,RPLP1,RPSA,RPS27A,RPL23,RPL19,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
"GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184","4.42562800951309e-82","81.35402509294043","123","66","45","18123","RPL37A,RPL35,RPS21,RPL39,RPS4X,RPL36A,RPS27,RPS20,RPS8,RPL22,RPL9,RPLP0,RPL32,RPS9,RPL28,RPS5,RPS19,RPS16,RPS11,RPL18,RPS3,RPL27A,RPS15A,RPS12,RPL41,RPS26,RPL18A,RPL13,RPLP1,RPSA,RPS27A,RPL23,RPL19,RPS23,RPS29,RPL37,RPL3,RPL24,RPS10,RPL10A,RPS28,RPS18,RPL36,RPL17,FAU"
